id,driver_id,driver_ssign_id,imei,date_from,date_to,overspeed_accuracy,overspeed_zone,overspeed_road,overspeed_standard,os_acc_distance,os_zo_distance,os_ro_distance,os_st_distance,distance_traveled,duration_traveled,engine_idle,harsh_breaking,harsh_cornering,harsh_acceleration,seat_belt,engine_work,type
13,24,7F00000118A12701,357544374129480,"2025-11-07 03:23:43","2025-11-07 07:17:56",0,0,0,0,0,0,0,0,44.84,4103,7939,0,0,0,8,12042,0
14,24,7F00000118A12701,357544372502167,"2025-11-09 08:40:21","2025-11-10 00:00:00",23,0,0,46,70.571,0,0,200.977,287.9,19769,35191,0,0,0,92,54960,0
15,24,7F00000118A12701,357544374129480,"2025-11-10 04:05:05","2025-11-10 09:02:17",0,0,0,3,0,0,0,2.933,81.46,6044,11740,0,0,0,26,17784,0
16,24,7F00000118A12701,357544374163562,"2025-11-10 10:43:07","2025-11-11 00:00:00",0,0,0,0,0,0,0,0,0,0,43755,0,0,0,0,43755,0
17,24,7F00000118A12701,357544372502167,"2025-11-11 04:15:02","2025-11-12 00:00:00",15,0,0,9,53.965,0,0,91.03,112.07,7948,10186,0,0,0,20,18134,0
115,4,3600000121F84601,350612070052764,"2025-11-04 02:20:19","2025-11-05 00:00:00",0,0,0,13,0,0,0,15.503,342.14,24252,17153,0,0,0,58,41405,0
116,5,890000011DEA8101,354018117274757,"2025-11-04 00:51:47","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,1.28,865,19168,0,0,0,2,20033,0
117,20,FF0000011B014C01,354018119658643,"2025-11-04 02:23:36","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,24,7F00000118A12701,357544372502167,"2025-11-04 08:13:48","2025-11-05 00:00:00",20,0,0,33,80.321,0,0,159.772,219.75,10975,5434,0,0,0,48,16409,0
119,24,7F00000118A12701,357544374129480,"2025-11-04 03:23:36","2025-11-04 13:16:24",0,0,0,2,0,0,0,1.709,17.64,1547,33912,0,0,0,4,35459,0
120,25,FD0000011B1D7A01,354018114481652,"2025-11-04 05:23:44","2025-11-04 14:54:40",1,0,0,38,2.526,0,0,171.636,228.12,13775,20224,0,0,0,37,33999,0
121,30,4B00000119137401,864636062811373,"2025-11-04 10:18:01","2025-11-04 23:08:35",0,0,0,32,0,0,0,189.919,283.92,15877,30351,0,0,0,142,46228,0
122,31,DC0000011C2EEE01,354017116600228,"2025-11-04 05:50:36","2025-11-05 00:00:00",0,0,0,2,0,0,0,2.334,129.62,11389,15073,0,0,0,27,26462,0
123,31,DC0000011C2EEE01,864636065360345,"2025-11-04 05:02:06","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.32,721,14770,0,0,0,0,15491,0
124,4058,650000016E5ED701,357544374321863,"2025-11-04 08:28:16","2025-11-05 00:00:00",0,0,0,20,0,0,0,38.979,133.49,10935,6910,0,0,0,85,17845,0
125,4072,760000011D6C4001,354018119609323,"2025-11-04 09:59:52","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.63,497,17293,0,0,0,0,17790,0
126,4080,700000016EBAB901,354018114470432,"2025-11-04 19:48:41","2025-11-05 00:00:00",0,0,0,18,0,0,0,87.875,102.19,4280,0,0,0,0,14,4280,0
127,4085,84000004B02C8701,354018119609505,"2025-11-04 11:41:28","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0.01,27,0,0,0,0,0,27,0
137,4103,FD00000116A87A01,354017114542190,"2025-11-04 19:13:52","2025-11-05 00:00:00",0,0,0,18,0,0,0,108.953,138.41,7130,360,0,0,0,27,7490,0
138,4110,6B000001171ED301,354018114481652,"2025-11-04 14:54:41","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,13.04,2297,0,0,0,0,14,2297,0
139,4113,48000001AE3E7401,350424067530210,"2025-11-04 03:18:28","2025-11-05 00:00:00",0,0,0,16,0,0,0,40.921,81.96,6609,27637,0,0,0,56,34246,0
140,4116,5F00000121D77801,357544377264714,"2025-11-04 07:49:54","2025-11-05 00:00:00",0,0,0,23,0,0,0,116.951,140.81,7018,35159,0,0,0,34,42177,0
141,4118,4D00000118C2B301,863719061877982,"2025-11-04 04:14:07","2025-11-05 00:00:00",0,0,0,30,0,0,0,104.033,237.96,19676,39981,0,0,0,132,59657,0
142,4123,F000000134221001,359633105585116,"2025-11-04 07:56:34","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,42.15,5233,20932,0,0,0,17,26165,0
143,4127,250000011A7F2F01,864636062811373,"2025-11-04 23:08:36","2025-11-05 00:00:00",0,0,0,1,0,0,0,2.283,6.05,591,0,0,0,0,3,591,0
144,4135,16000001342D7D01,354018119605164,"2025-11-04 14:36:14","2025-11-05 00:00:00",0,0,0,14,0,0,0,139.815,153.03,7444,26380,0,0,0,25,33824,0
145,4139,CD0000011DDE1301,354017113655811,"2025-11-04 04:47:05","2025-11-04 11:58:23",0,0,0,0,0,0,0,0,1.09,274,25578,0,0,0,0,25852,0
146,4144,1400001E9649D801,354018117298707,"2025-11-04 09:59:09","2025-11-04 12:28:48",0,0,0,2,0,0,0,0.748,45.58,6660,2069,0,0,0,40,8729,0
147,4148,240000011A86C301,354018117968184,"2025-11-04 04:23:11","2025-11-05 00:00:00",0,0,0,0,0,0,0,0,0,0,37638,0,0,0,0,37638,0
